Name of the station,Year,srcStateName,StateCode,StateName,IntermediateRatio
"GANGA AT PALTA, WEST BENGAL",2014,WEST BENGAL,19,WEST BENGAL,1
"URMODI NAGTHANE, SATARA",2016,MAHARASHTRA,27,MAHARASHTRA,1
"KRISHNA AT D/S OF NARAYANPURA DAM,KARNATAKA",2014,KARNATAKA,29,KARNATAKA,1
MAHI AT UMETA BRIDGE,2018,GUJARAT,24,GUJARAT,1
GANGA AT GARHMUKTESHWAR,2019,UTTAR PRADESH,9,UTTAR PRADESH,1
"GODAVARI D/S BHADRACHALAM BATHING GHAT, KHAMMAM",2016,TELANGANA,36,TELANGANA,1
"RIVER NARMADA NEAR PUNASA DAM, PUNASA",2016,MADHYA PRADESH,23,MADHYA PRADESH,1
"GOMTI AT LUCKNOW D/S, U.P.",2018,UTTAR PRADESH,9,UTTAR PRADESH,1
"IB AT RAJ NAGAR U/S, ODISHA",2018,ODISHA,21,ODISHA,1
"GANDAK AT REWAGHAT, MUJAFFARPUR",2012,BIHAR,10,BIHAR,1
"KABBANI AT WATER INTAKE OF KIADB AT NANJANGUD,KARNATAKA",2013,KARNATAKA,29,KARNATAKA,1
"MULAMUTHA RIVER AT MUNDHAWA BRIDGE, MUNTHAWA,HAWELI, PUNE",2019,MAHARASHTRA,27,MAHARASHTRA,1
PABBAR AT U/S ROHRU,2018,HIMACHAL PRADESH,2,HIMACHAL PRADESH,1
KANHAN D/S OF NAGPUR,2012,MAHARASHTRA,27,MAHARASHTRA,1
"VENNA RIVER AT MAHULI, SATARA",2017,MAHARASHTRA,27,MAHARASHTRA,1
KOSHI RIVER AT MADHEPURA,2013,BIHAR,10,BIHAR,1
"BHIMA AT D/S OF ROAD BRIDGE AT GANGAPUR VILLAGE, KARNATAKA",2018,KARNATAKA,29,KARNATAKA,1
BAITARNI RIVER AT NAIGARH,2017,ODISHA,21,ODISHA,1
KATHJODI U/S,2018,ODISHA,21,ODISHA,1
"TAPI AT RANDER BRIDGE, SURAT",2013,GUJARAT,24,GUJARAT,1
BEAS AT D/S PANDOH DAM,2018,HIMACHAL PRADESH,2,HIMACHAL PRADESH,1
"DENWA NEAR SARNI, ROAD BRIDGE",2014,MADHYA PRADESH,23,MADHYA PRADESH,1
GODAVARI RIVER NEAR TAPOVAN.,2014,MAHARASHTRA,27,MAHARASHTRA,1
GODAVARI RIVER AT NANDUR- MADMESHWAR DAM.,2013,MAHARASHTRA,27,MAHARASHTRA,1
"KALI BEIN FALLING INTO RIVER BEAS, PUNJAB",2018,PUNJAB,3,PUNJAB,1
RIVER GIRI D/S RAJGARH TOWN,2019,"HIMACHAL
PRADESH",2,HIMACHAL PRADESH,1
PATNA TO GANDHI GHAT/NIT GHAT,2018,BIHAR,10,BIHAR,1
"ARKAVATHI AT D/S OF KANAKAPURA TOWN,",2017,KARNATAKA,29,KARNATAKA,1
"CAUVERY AT MAYILADUTHURAI, NAGAPATTINAM, TAMILNADU",2017,TAMIL NADU,33,TAMIL NADU,1
RIVER VARUNA BC WITH RIVER GANGA AT VARANASI,2018,UTTAR PRADESH,9,UTTAR PRADESH,1
"MAHANADI AT KHARAD, CHHATISGARH.",2017,CHATTISGARH,22,CHHATTISGARH,1
"GODAVARI RIVER AT RAMKUND, VILLAGE PANCHAVATI, TALUKA NASHIK, DISTRICT NASHIK.",2018,MAHARASHTRA,27,MAHARASHTRA,1
"YAMUNA AT BATESWAR, U.P",2018,UTTAR PRADESH,9,UTTAR PRADESH,1
GANGUA AT SAMANTARAPUR,2019,ODISHA,21,ODISHA,1
SHANKNI RIVER A/C DANKANI RIVER DANTEWADA.,2013,CHHATTISGARH,22,CHHATTISGARH,1
"SABARMATI AT MAHUDI JAIN TEMPLE, 150 KM. FORM ORIGIN,",2019,GUJARAT,24,GUJARAT,1
"KANHAN AT CHINDWARA BEFORE MIXING BOREGAON GROWTH CENTRE NALLA, JABALPUR",2019,MADHYA PRADESH,23,MADHYA PRADESH,1
SINDH AT SONAMARG U/S,2014,JAMMU & KASHMIR,1,JAMMU AND KASHMIR,1
"NIRA RIVER AT SANGAVI, PHALTAN, SATARA",2014,MAHARASHTRA,27,MAHARASHTRA,1
"YAMUNA , D/S PAONTA SAHIB",2012,HIMACHAL PRADESH,2,HIMACHAL PRADESH,1
KRISHNA RIVER AT WAI.,2012,MAHARASHTRA,27,MAHARASHTRA,1
WAINGANGA RIVER U/S OF ELLORA PAPER MILL.,2013,MAHARASHTRA,27,MAHARASHTRA,1
"BRAHMAPUTRA AT CHANDRAPUR, GUWAHATI",2012,ASSAM,18,ASSAM,1
"BHIMA RIVER-BACKWATER OF UJANI DAM NEAR RAW WATER PUMP HOUSE, KUMBARGAON, INDAPUR, PUNE",2013,MAHARASHTRA,27,MAHARASHTRA,1
SUBARNAREKHA AT HATIA DAM,2017,JHARKHAND,20,JHARKHAND,1
"TITUR RIVER D/S OF CHALISGAON, JALGAON",2019,MAHARASHTRA,27,MAHARASHTRA,1
"KSHIPRA AT RAMGHAT AT UJJAIN, M.P.",2019,"MADHYA
PRADESH",23,MADHYA PRADESH,1
"WARDHA RIVER AT D/S OF ERAI RIVER AT HADASTI NEAR ARUN ENGG. WORKS, VILLAGE HADASTI, TALUKA CHANDRAPUR, DISTRICT CHANDRAPUR.",2018,MAHARASHTRA,27,MAHARASHTRA,1
"RIVER MUSI AT NAGOLE, RANGAREDDY",2017,ANDHRA PRADESH,36,TELANGANA,1
WAINGANGA A/C WITH KANHAN,2016,MAHARASHTRA,27,MAHARASHTRA,1
"MAHI AT VIRPUR, GUJARAT",2013,GUJARAT,24,GUJARAT,1
"YAMUNA AT NIZAMUDDIN, DELHI",2019,DELHI,7,DELHI,1
"RIVER GHAGHRA AT BARHALGANJ, GORAKHPUR",2017,UTTAR PRADESH,9,UTTAR PRADESH,1
"HAMSALA DEEVI , GUNTUR DIST",2016,ANDHRA PRADESH,28,ANDHRA PRADESH,1
"GODAVARI AT U/S OF GANGAPUR DAM,NASIK,MAHARASHTRA",2013,MAHARASHTRA,27,MAHARASHTRA,1
"PAWNA RIVER AT RAVET WEIR, PUNE.",2013,MAHARASHTRA,27,MAHARASHTRA,1
"KRISHNA AT U/S OF UGARKHURD BARRAGE,KARNATAKA",2013,KARNATAKA,29,KARNATAKA,1
RIVER BRAHMANI AT CHANDBALI U/S,2017,ODISHA,21,ODISHA,1
MANGALA AT PURI D/s GOLASAHI,2019,ODISHA,21,ODISHA,1
RAVI AT CHAMERA RESERVOIR,2018,HIMACHAL PRADESH,2,HIMACHAL PRADESH,1
"GANDAK AT SONEPUR, PATNA (BEFORE CONFL.), BIHAR",2018,BIHAR,10,BIHAR,1
"SHIMSHA AT D/S OF BRIDGE, HALAGUR, KARNATAKA",2014,KARNATAKA,29,KARNATAKA,1
"ARKAVATHI AT T.G. HALLI RESERVOIR, ,",2017,KARNATAKA,29,KARNATAKA,1
"CAUVERY RIVER D/S BARACHUKI FALLS, SATHEGALA, KOLL",2018,KARNATAKA,29,KARNATAKA,1
"RUPNARAYAN BEFORE CONFL. TO RIVER GANGA NEAR GEONKHALI, WEST BENGAL",2013,WEST BENGAL,19,WEST BENGAL,1
"CHENAB AT CHADRA GAON VIEW POINT(4 KM U/S FROM SPOT),J&K",2013,JAMMU & KASHMIR,1,JAMMU AND KASHMIR,1
"BHAVANI AT D/S OF BHAVANISAGAR, SATHYAMANGALAM, ERODE, TAMILNADU",2017,TAMIL NADU,33,TAMIL NADU,1
"TUNGHABHADRA AT KURNOOL U/S, BAVAPURAM",2012,ANDHRA PRADESH,28,ANDHRA PRADESH,1
"LIDDER NALLAH AT YANEER, D/S OF PHALGUM",2016,JAMMU & KASHMIR,1,JAMMU AND KASHMIR,1
GIRI U/S CCI MINES,2016,HIMACHAL PRADESH,2,HIMACHAL PRADESH,1
"PANCHNAI RIVER AT NH52 CROSSING, ORANG, ASSAM",2017,ASSAM,18,ASSAM,1
"DAMODAR AT NARAINPUR AFTER CONFL. OF NUNIA NALLAH, WEST BENGAL",2014,WEST BENGAL,19,WEST BENGAL,1
"DHENKANAL D/S, DHENKANAL TOWN",2016,ODISHA,21,ODISHA,1
CAUVERY AT PITCHAVARAM,2018,TAMIL NADU,33,TAMIL NADU,1
HASDEO RIVER 100 METER DOWNSTREAM AFTER CONFLUENCE,2018,CHHATTISGARH,22,CHHATTISGARH,1
"RIHAND AT RENUKUT U/S, U.P.",2014,UTTAR PRADESH,9,UTTAR PRADESH,1
"KRISHNA RIVER AT KRISHNA VENNA SANGAM MAHULI , VILLAGE MAHULI,TALUKA MAHULI, DISTRICT SATARA.",2018,MAHARASHTRA,27,MAHARASHTRA,1
NANDIRA D/S AT DASNALI,2018,ODISHA,21,ODISHA,1
MANGALA AT PURI U/S MALATIPATPUR,2017,ODISHA,21,ODISHA,1
WATER SUPPLY INTAKE POINT TO SRIRANGAPATNA TOWN,2018,KARNATAKA,29,KARNATAKA,1
"SATLUJ AT BOAT BDG. DHARMKOTNAKODAR ROAD, JALANDHAR",2016,PUNJAB,3,PUNJAB,1
OKHLA BRIDGE (INLET OF AGRA CANAL),2016,DELHI,7,DELHI,1
DAYA AT BHUBANESWAR FD/S ( 2 KM AFTER CONFLUENCE OF GANGUA NALLAH WITH RIVER DAYA),2017,ODISHA,21,ODISHA,1
PABBAR U/S DHAMBARI,2016,HIMACHAL PRADESH,2,HIMACHAL PRADESH,1
"GANGA U/S, ANOOPSHAHAR",2014,UTTAR PRADESH,9,UTTAR PRADESH,1
NEUGAL AT D/S THURAL,2012,HIMACHAL PRADESH,2,HIMACHAL PRADESH,1
RIVER LAKHANDEI SITAMARHI D/S,2019,BIHAR,10,BIHAR,1
"KOYNA RIVER AT KARAD, VILLAGE KARAD,TALUKA KARAD, DISTRICT SATARA.",2018,MAHARASHTRA,27,MAHARASHTRA,1
"TUNGABHADRA AT D/S OF GANGAWATHI, KARNATAKA",2013,KARNATAKA,29,KARNATAKA,1
DAMODAR AT DISHERGARH VILL.(NR.BIHAR-WEST BENGAL BORDER),2012,WEST BENGAL,19,WEST BENGAL,1
"TUNGHABHADRA AT ULLANUR, KARNATAKA",2013,KARNATAKA,29,KARNATAKA,1
KOSHI RIVER AT BEERPUR,2014,BIHAR,10,BIHAR,1
GOLA RIVER AT HALDWANI,2017,UTTARAKHAND,5,UTTARAKHAND,1
GANGA AT RAJMAHAL,2016,JHARKHAND,20,JHARKHAND,1
"BEAS AT D/S CHANGARWA VILLAGE, (PUNJAB)",2019,PUNJAB,3,PUNJAB,1
RANGAVALI D/S OF NAVAPUR,2012,MAHARASHTRA,27,MAHARASHTRA,1
SIKRANA AT CHANPATIYA,2016,BIHAR,10,BIHAR,1
"JHANJI AT N.H. CROSSING JORHAT, ASSAM",2014,ASSAM,18,ASSAM,1
"CHAMBAL AT DHOLPUR, M.P",2014,MADHYA PRADESH,23,MADHYA PRADESH,1
"TRIBENI ON GANGA, NEAR BURNING GHAT, HOOGHLY",2019,WEST BENGAL,19,WEST BENGAL,1
"GOHAD DAM, GOHAD, M.P",2019,"MADHYA
PRADESH",23,MADHYA PRADESH,1
"TITUR RIVER, D/S OF CHALISGAON, JALGOAN.",2012,MAHARASHTRA,27,MAHARASHTRA,1
YAMUNA AT BATESWAR,2016,UTTAR PRADESH,9,UTTAR PRADESH,1
CHAMBAL AT NAGDA U/S (WATER INTAKE POINT) M.P.,2018,MADHYA PRADESH,23,MADHYA PRADESH,1
KELO RIVER U/S OF RAIGARH,2013,CHHATTISGARH,22,CHHATTISGARH,1
"SIRSA , U/S SITOMAJRI NALLAHGARH",2016,HIMACHAL PRADESH,2,HIMACHAL PRADESH,1
"SONE AT KOELWAR, BIHAR",2018,BIHAR,10,BIHAR,1
"NAMCHIK RIVER AT KHARSANG,",2018,ARUNACHAL PRADESH,18,ARUNACHAL PRADESH,1
CHENAB AT L.H.S.(BELOW BRIDGE CHENAB),2019,JAMMU & KASHMIR,1,JAMMU AND KASHMIR,1
MAHANADI AT CUTTACK FD/S AT GATIRAUTAPATNA,2019,ODISHA,21,ODISHA,1
HASDEO D/S NEAR URGA VILLAGE KORBA,2016,CHHATTISGARH,22,CHHATTISGARH,1
PALTA SHITLATALA,2018,WEST BENGAL,19,WEST BENGAL,1
"GODAVARI AT JAYAKWADI DAM, AURNAGABAD",2012,MAHARASHTRA,27,MAHARASHTRA,1
TAPI AT NEPANAGAR M.P.,2018,MADHYA PRADESH,24,MADHYA PRADESH,1
"SHEONATH AT RAJNANDGAON, D/S AT MOHAD, RAJNANDGAON",2018,CHHATTISGARH,22,CHHATTISGARH,1
SINDH RIVER AT WAIL BRIDGE,2019,JAMMU & KASHMIR,1,JAMMU AND KASHMIR,1
"GHAGHARA NEAR CHAPRA, RIBILGANJ, SARAN",2019,BIHAR,10,BIHAR,1
"DHENKANAL D/S, DHENKANAL TOWN",2014,ODISHA,21,ODISHA,1
"TUNGA AT D/S OF SHIMOGA TOWN,",2017,KARNATAKA,29,KARNATAKA,1
GODAVARI RIVER AT D/S OF PAITHAN AT PATHEGAON BDG,2012,MAHARASHTRA,27,MAHARASHTRA,1
"MANJEERA RIVER NEAR GANAPATHI SUGARS , MEDAK DIS",2018,TELANGANA,36,TELANGANA,1
"PURNA RIVER NEAR ACHALPUR-AMRAVATI ROAD BRIDGE, ASEGAON, CHANDUR BAZAR, AMRAVATI",2014,MAHARASHTRA,27,MAHARASHTRA,1
GODAVARI AT NASIK D/S,2012,MAHARASHTRA,27,MAHARASHTRA,1
MANGALA AT PURI U/s MALATIPATPUR,2019,ODISHA,21,ODISHA,1
GANGA AT U/S MUNGER (NEAR INTAKE WELL ON GANGA),2016,BIHAR,10,BIHAR,1
JHANJI AT N.H. CROSSING JORHAT,2012,ASSAM,18,ASSAM,1
"GHOD RIVER AT SHIRUR, VILLAGE SHIRUR,TALUKA SHIRUR,DISTRICT PUNE.",2018,MAHARASHTRA,27,MAHARASHTRA,1
"BETWA U/S, BEENA",2012,MADHYA PRADESH,23,MADHYA PRADESH,1
"CAUVERY AT KUSHAL NAGAR U/S (NEAR BAICHANAHALLI), KARNATAKA",2013,KARNATAKA,29,KARNATAKA,1
"RIVER NARMADA NEAR MORTAKKA BRIDGE, BADWAH",2018,MADHYA PRADESH,23,MADHYA PRADESH,1
PUNPUN RIVER NEAR KINZER ROAD BRIDGE,2013,BIHAR,10,BIHAR,1
"BHIMA AT D/S OF ROAD BRIDGE AT GANGAPUR VILLAGE,",2019,KARNATAKA,29,KARNATAKA,1
"BRAHMANI AT D/S PANPOSH, ODISHA",2018,ODISHA,21,ODISHA,1
"HASDEO RIVER 100 METER DOWNSTREAM AFTER CONFLUENCE OF DENGUR NALLAH NERA C.S.E.B. EAST GUEST HOUSE, KORBA,",2019,CHHATTISGARH,22,CHHATTISGARH,1
"SATLUJ AT U/S BUDHA NALLAH (UPPER), PUNJAB",2013,PUNJAB,3,PUNJAB,1
WAINGANGA AFTER CONLUENCE WITH KANHAN,2017,MAHARASHTRA,27,MAHARASHTRA,1
YAMUNA AT MAZAWALI,2016,UTTAR PRADESH,9,UTTAR PRADESH,1
"MAHI NEAR RAJASTHAN BORDER AT KADANA DAM,",2017,GUJARAT,24,GUJARAT,1
KAGINA D/S OF SEWAGE DISPOSAL POINT,2019,KARNATAKA,29,KARNATAKA,1
SONAI RIVER AT SONAI,2014,ASSAM,18,ASSAM,1
"TITUR RIVER D/S OF CHALISGAON, JALGAON",2017,MAHARASHTRA,27,MAHARASHTRA,1
GODAVARI RIVER AT NANDUR- MADMESHWAR DAM.,2014,MAHARASHTRA,27,MAHARASHTRA,1
"GHOD RIVER AT SHIRUR, PUNE",2019,MAHARASHTRA,27,MAHARASHTRA,1
GODAVARI RIVER AT U/S OF PAITHAN AT PAITHAN INTAKE PUMP HOUSE AT JAYAKWADI,2013,MAHARASHTRA,27,MAHARASHTRA,1
BETWA B/C YAMUNA AT HAMIRPUR,2016,UTTAR PRADESH,9,UTTAR PRADESH,1
"PAWANA AT RAVET WEIR, PUNE.",2012,MAHARASHTRA,27,MAHARASHTRA,1
SUBARNAREKHA AT NAMKUM ROAD BRIDGE,2016,JHARKHAND,20,JHARKHAND,1
"HASDEO RIVER 100 METER DOWNSTREAM AFTER CONFLUENCE OF DENGUR NALLAH NERA C.S.E.B. EAST GUEST HOUSE, KORBA, CHHATISGARH.",2017,CHATTISGARH,22,CHHATTISGARH,1
"BURAI B/C TO TAPI MUKUDAS, DHULE",2016,MAHARASHTRA,27,MAHARASHTRA,1
"BETWA NEAR INTAKE POINT, VIDISHA",2016,MADHYA PRADESH,23,MADHYA PRADESH,1
GODAVARI AT DHALEGAON,2016,MAHARASHTRA,27,MAHARASHTRA,1
YAMUNA AT U/S OF LAKHWAR DAM,2017,UTTARAKHAND,5,UTTARAKHAND,1
"KSHIPRA AT W/S INTAKE POINT OF DEWAS, UJJAIN",2018,MADHYA PRADESH,23,MADHYA PRADESH,1
CAUVERY AT THIRUMUKKUDALCONFL. PT.OF R. AMRAVATI,2019,TAMIL NADU,33,TAMIL NADU,1
D/S NAWADAGHAT,2018,BIHAR,10,BIHAR,1
SUTLEJ AT U/S TATAPANI,2019,HIMACHAL PRADESH,2,HIMACHAL PRADESH,1
"SIKRANA RIVER AT LAL PARSE, BITTIAH, BIHAR",2018,BIHAR,10,BIHAR,1
"MAHI (D/S) CONF WITH R. CHAP (UNDER SAGWARASARHI RD. BDG.), RAJASTHAN",2017,RAJASTHAN,8,RAJASTHAN,1
TUNGABHADRA AT ULLANUR,2019,KARNATAKA,29,KARNATAKA,1
"SINA NEAR LABOTI TOLL NAKA, LABOTI, MOHAL, SOLAPUR",2016,MAHARASHTRA,27,MAHARASHTRA,1
"KRISHNA AT MAHABALESHWAR DHOM DAM NEAR KOINA DAM,MAHARASHTRA",2013,MAHARASHTRA,27,MAHARASHTRA,1
"YAMUNA AT KALANAUR, YAMUNA NAGAR, HARYANA",2018,HARYANA,6,HARYANA,1
"SIKRAHNA RIVER AT LAL PARSE, BITTIAH",2014,BIHAR,10,BIHAR,1
"GANGA AT KACHHLA GHAT, ALIGARH",2019,UTTAR PRADESH,9,UTTAR PRADESH,1
BEAS D/S MANALI,2016,HIMACHAL PRADESH,2,HIMACHAL PRADESH,1
CHANDRABHAGA D/S OF PANDHARPUR TOWN,2013,MAHARASHTRA,27,MAHARASHTRA,1
RAVI D/S CHAMERA III HEP,2016,HIMACHAL PRADESH,2,HIMACHAL PRADESH,1
NUNA NADI AT BIJIPUR,2017,ODISHA,21,ODISHA,1
"SUTLEJ AT 100M D/S , NANGAL, PUNJAB",2018,PUNJAB,3,PUNJAB,1
KRISHNA AT RAJAPUR WEIR,2017,MAHARASHTRA,27,MAHARASHTRA,1
"MANDAKINI AT CHITRAKUT, M.P.",2018,MADHYA PRADESH,23,MADHYA PRADESH,1
"GAWKADAL, SRG (SHERGHARI, SRG), J&K",2018,JAMMU & KASHMIR,1,JAMMU AND KASHMIR,1
"KOSHI RIVER AT KURSHELA AT KATIHAR, BIHAR",2018,BIHAR,10,BIHAR,1
DHANSIRI AT TOWN BOUNDARY BRIDGE (DIPHU ROAD),2019,NAGALAND,13,NAGALAND,1
ALKANANDA A/C MANDAKINI AT RUDRAPRAYAG,2016,UTTARAKHAND,5,UTTARAKHAND,1
MAHANADI D/S SAMBALPUR,2016,ODISHA,21,ODISHA,1
KARIYARI U/S BEFORE MIXING WITH WASTE WATER OF M/S,2018,MADHYA PRADESH,23,MADHYA PRADESH,1
JHELUM RIVER AT AWANTIPORA,2018,JAMMU & KASHMIR,1,JAMMU AND KASHMIR,1
PARVATI NEAR INTAKE POINT PILLUKHEDI DISTT. RAJG,2018,MADHYA PRADESH,23,MADHYA PRADESH,1
"SUTLEJ AT 100M U/S OF HEADWORKS, NANGAL",2019,PUNJAB,3,PUNJAB,1
RIVER JHELUM AT VERINAG,2018,JAMMU & KASHMIR,1,JAMMU AND KASHMIR,1
BASANTER)D/S(R.H.S.) SAMBA (AT CHAK MANGA GUJJAR,2017,JAMMU & KASHMIR,1,JAMMU AND KASHMIR,1
"CAUVERY AT KUSHAL NAGAR U/S (NEAR BAICHANAHALLI), KARNATAKA",2014,KARNATAKA,29,KARNATAKA,1
"BEAS AT D/S KULU, H.P.",2014,HIMACHAL PRADESH,2,HIMACHAL PRADESH,1
"DARNA AT BHAGUR PUMPING STN NR PANDHURLI BDG, BHAGUR, NASHIK.",2012,MAHARASHTRA,27,MAHARASHTRA,1
MAHANADI AT MUNDALI (WATER INTAKE POINT OF BHUBANESWAR CITY),2019,ODISHA,21,ODISHA,1
U/S MANUSMAR RIVER (RIGA),2012,BIHAR,10,BIHAR,1
TUNGHABHADRA AT ULLANUR,2012,KARNATAKA,29,KARNATAKA,1
GANGA AT U/S MUNGER,2017,BIHAR,10,BIHAR,1
GANDAK ATSAMASTIPUR RD BDG,2012,BIHAR,10,BIHAR,1
GODAVARI AT RAJAMUNDRY U/S OF NALLA CHANNEL,2013,ANDHRA PRADESH,36,ANDHRA PRADESH,1
DAHA AT SIWAM,2013,BIHAR,10,BIHAR,1
"RIVER GANGA TA MAA AMBIKA ASTHAN, AAMI, SARAN",2019,BIHAR,10,BIHAR,1
"URMODI RIVER, NAGTHANE, SATARA",2017,MAHARASHTRA,27,MAHARASHTRA,1
GANGA AT FATUHA,2014,BIHAR,10,BIHAR,1
"TITUR D/S OF CHALISGAON, JALGAON",2016,MAHARASHTRA,27,MAHARASHTRA,1
"SINA RIVER NEAR LABOTI TOLL NAKA, LABOTI, MOHAL, SOLAPUR",2014,MAHARASHTRA,27,MAHARASHTRA,1
"TUNGABHADRA AT JACKWELL POINT, KARNATAKA",2018,KARNATAKA,29,KARNATAKA,1
YAMUNA AT HATHNIKUND,2012,HARYANA,6,HARYANA,1
KUNDA AT KHARGONE,2014,MADHYA PRADESH,23,MADHYA PRADESH,1
"CAUVERY AT THIRUMUKKUDALCONFL. PT.OF R. AMRAVATI, TAMILNADU",2017,TAMIL NADU,33,TAMIL NADU,1
"GODAVARI AT JAYAKWADI DAM, PAITHAN,AURANAGABAD",2019,MAHARASHTRA,27,MAHARASHTRA,1
"RIVER MANJEERA AT GOWDICHARLA B/C WITH NAKKAVAGU,",2018,TELANGANA,36,TELANGANA,1
GANGA AT KAHALGAON,2013,BIHAR,10,BIHAR,1
"DIKHOW RIVER AT DIKHOW BRIDGE SIVASAGAR, ASSAM",2019,ASSAM,18,ASSAM,1
ARPA RIVER D/S OF BILASPUR,2012,CHHATTISGARH,22,CHHATTISGARH,1
"YAMUNA , U/S PAONTA SAHIB",2012,HIMACHAL PRADESH,2,HIMACHAL PRADESH,1
NARMADA NEAR SOURCE AT AMARKANTAK M.P.,2017,MADHYA PRADESH,23,MADHYA PRADESH,1
"SHEONATH AT RAJNANDGAON, D/S AT MOHAD, RAJNANDGAON",2016,CHHATTISGARH,22,CHHATTISGARH,1
"GODAVARI RIVER AT JALNA INTAKE WATER PUMP HOUSE, SHAHABAD.",2014,MAHARASHTRA,27,MAHARASHTRA,1
SONE AT CHACHAI,2016,MADHYA PRADESH,23,MADHYA PRADESH,1
PARADEEP U/S (BEFORE INDUSTRIAL ACTIVITY AT PARADE,2018,ODISHA,21,ODISHA,1
"WARDHA RIVER AT U/S OF ACC GHUGGUS. , CHANDRAPUR, CHANDRAPUR",2019,MAHARASHTRA,27,MAHARASHTRA,1
SANKHA U/S(D/S MANDIRA DAM),2012,ORISSA,21,ODISHA,1
DEVAK AT UTTERBEHNI.,2016,JAMMU & KASHMIR,1,JAMMU AND KASHMIR,1
"TITUR RIVER, D/S OF CHALISGAON, JALGOAN.",2014,MAHARASHTRA,27,MAHARASHTRA,1
SINDH RIVER AT SONAMARG D/S,2018,JAMMU & KASHMIR,1,JAMMU AND KASHMIR,1
"AMRAVATI RIVER D/S OF DONDAICHA, DHULE",2012,MAHARASHTRA,27,MAHARASHTRA,1
DAMODAR U/S JAMADOBA WATER WORKS,2019,JHARKHAND,20,JHARKHAND,1
WAINGANGA AT ASHTI,2016,MAHARASHTRA,27,MAHARASHTRA,1
MAHANADI POWER CHANNEL D/S NEAR BURLA,2019,ODISHA,21,ODISHA,1
"WAINGANGA AT CHINDWARA, M.P.",2013,MADHYA PRADESH,23,MADHYA PRADESH,1
"SUTLEJ AT D/S KIRATPUR SAHIB,",2019,PUNJAB,3,PUNJAB,1
"GANGA AT ALLAHABAD (RASOOLABAD), U.P.",2013,UTTAR PRADESH,9,UTTAR PRADESH,1
PABBAR AT U/S ROHRU,2012,HIMACHAL PRADESH,2,HIMACHAL PRADESH,1
"SHIVNA AT RAMGHAT, MANDSAUR",2016,MADHYA PRADESH,23,MADHYA PRADESH,1
KRISHNA D/S OF ISLAMPUR,2014,MAHARASHTRA,27,MAHARASHTRA,1
"CAUVERY AT URRACHIKOTTAI, ERODE, TAMILNADU",2018,TAMIL NADU,33,TAMIL NADU,1
GODAVARI AT NANDED,2012,MAHARASHTRA,27,MAHARASHTRA,1
"SUBARNAREKHA AT D/S JAMSHEDPUR,(TATA NAGAR),JHARKA",2016,JHARKHAND,20,JHARKHAND,1
"PAWANA RIVER AT SANGAVIGAON, PUNE.",2014,MAHARASHTRA,27,MAHARASHTRA,1
"KARIYARI U/S BEFORE MIXING WITH WASTE WATER OF M/S J.P. CEMENT , REWA",2019,MADHYA PRADESH,23,MADHYA PRADESH,1
"PURNA NR ACHALPUR-AMRAVATI ROAD BRIDGE, ASEGAON, CHANDUR BAZAR, AMRAVATI",2012,MAHARASHTRA,27,MAHARASHTRA,1
"SARABANGA AT SALEM, D/S OF TEXTILE DYEING INDUSTRIES EFFLUENT, TAMILNADU",2014,TAMILNADU,33,TAMIL NADU,1
"RAM REKHA RIVER AT HARINAGAR,",2018,BIHAR,10,BIHAR,1
PARVATI AT U/S MANIKARAN,2018,HIMACHAL PRADESH,2,HIMACHAL PRADESH,1
"ANAS AT DAHOD,(KUSHALGARH),DIST. PANCHMAHAL",2016,GUJARAT,24,GUJARAT,1
D/S DAHA RIVER AT SASAMUSA,2014,BIHAR,10,BIHAR,1
GANGA AT U/S BHAGALPUR,2018,BIHAR,10,BIHAR,1
"ASANGI NALLA AT ASANGI VILLAGE,",2017,KARNATAKA,29,KARNATAKA,1
MAHI AT SHERKHI BRIDGE,2016,GUJARAT,24,GUJARAT,1
SUBAREKHA AT GHATISLA ROAD BRIDGE,2013,JHARKHAND,20,JHARKHAND,1
GANGA AT BARAHIA,2016,BIHAR,10,BIHAR,1
"SATLUJ AT 100M U/S OF HEADWORKS, NANGAL",2017,PUNJAB,3,PUNJAB,1
GANGA AFTER CONFL. OF RIVER SONG NEAR SATYANARAYAN TEMPLE D/S RAIWALA,2012,UTTARAKHAND,5,UTTARAKHAND,1
"CAUVERY AT KRS DAM,BALAMURIKSHETRA,KARNATAKA",2013,KARNATAKA,29,KARNATAKA,1
MANJEERA AT D/S IN INTAKE POINT TO BIDAR CITY,2017,ANDHRA PRADESH,29,KARNATAKA,1
"SHIMSHA AT D/S OF HIGHWAY BRIDGE, YEDIYAR, KARNATAKA",2013,KARNATAKA,29,KARNATAKA,1
HEMAVATI AT D/S OF HOLENARASIPURA TOWN AT RAMADEVALA WEIR,2014,KARNATAKA,29,KARNATAKA,1
BHADRA AT MALLESWARAM D/S OF KIOCL KARNATAKA,2013,KARNATAKA,29,KARNATAKA,1
"PARVATI NEAR VILLAGE BATAODAPAR, M.P.",2019,"MADHYA
PRADESH",23,MADHYA PRADESH,1
"BELOW TAWI BRIDGE, J&K",2018,JAMMU & KASHMIR,1,JAMMU AND KASHMIR,1
CAUVERY U/SKUSHAL NAGAR (NEAR BAICHANAHALLI),2016,KARNATAKA,29,KARNATAKA,1
RIVER VARUNA B/C WITH RIVER GANGA AT VARANASI,2017,UTTAR PRADESH,9,UTTAR PRADESH,1
