VariableName,VariableCode,Type_Of_Variable,Unit_Of_Measure,Scaling_Factor,Aggregation_Type,Weighing_Varible_ID,Weighing_Variable_Name,Long_Description
Country,Country,Key Identifier,,0,,,,Country
State LGD Code,StateCode,Key Identifier,,0,,,,State LGD Code
State,StateName,Key Identifier,,0,,,,State
YearCode,YearCode,Key Identifier,"",0,"","","",YearCode
Year,Year,Key Identifier,"",0,"","","",Year
City,D7225_2,Key Identifier,"",0,"","","",City
Amount invested for building houses under Pradhan Mantri Awas Yojana,I7225_4,Numeric Variable,INR ( Indian Rupees ),10000000,sum,Not Applicable,Not Applicable,Amount invested for building houses under Pradhan Mantri Awas Yojana in crore
Amount sanctioned for building houses under Pradhan Mantri Awas Yojana,I7225_5,Numeric Variable,INR ( Indian Rupees ),10000000,sum,Not Applicable,Not Applicable,Amount sanctioned by the Central Government in crore
Amount released for building houses under Pradhan Mantri Awas Yojana,I7225_6,Numeric Variable,INR ( Indian Rupees ),10000000,sum,Not Applicable,Not Applicable,Amount released by the Central Government in crore
Houses sanctioned under Pradhan Mantri Awas Yojana mission,I7225_7,Numeric Variable,Number,1,sum,Not Applicable,Not Applicable,Houses sanctioned under Pradhan Mantri Awas Yojana mission
Houses grounded under Pradhan Mantri Awas Yojana mission,I7225_8,Numeric Variable,Number,1,sum,Not Applicable,Not Applicable,Houses grounded (houses for which Foundation started)
Houses completed construction under Pradhan Mantri Awas Yojana mission,I7225_9,Numeric Variable,Number,1,sum,Not Applicable,Not Applicable,Houses completed construction
