VariableName,VariableCode,Type_Of_Variable,Unit_Of_Measure,Scaling_Factor,Aggregation_Type,Weighing_Varible_ID,Weighing_Variable_Name,Long_Description
Country,Country,Key Identifier,,0,,,,Country
State lgd code,StateCode,Key Identifier,,0,,,,State LGD Code
State,StateName,Key Identifier,,0,,,,State
Yearcode,YearCode,Key Identifier,"",0,,"","",YearCode
Year,Year,Key Identifier,"",0,,"","",Year
Monthcode,MonthCode,Key Identifier,"",0,,"","",MonthCode
Month,Month,Key Identifier,"",0,,"","",Month
Calendardaycode,DayCode,Key Identifier,"",0,,"","",CalendarDayCode
Calendar day,CalendarDay,Key Identifier,"",0,,"","",Calendar Day
City,D6620_5,Key Identifier,"",0,,"","",City
Quality of air,D6620_7,Key Identifier,"",0,,"","",Quality of air
Index value of air,I6620_6,Numeric Variable,Number,1,sum,WeighingRatio_TotalPopulation,Total Population from Census,Index Value of air
